article l_citation8 editor_incharge diff_gender n_pages n_authors n_references AER ECA JPE 2001 2002
370 2.48490665 0 0 23 2 31 1 0 0 0 0
374 2.302585093 0 0 21 2 50 1 0 0 1 0
376 5.068904202 0 0 40 2 21 0 0 0 0 1
381 2.944438979 0 0 15 1 15 0 1 0 1 0
382 4.718498871 0 0 22 3 31 1 0 0 0 1
388 4.787491743 0 0 38 1 102 0 1 0 0 1
390 3.401197382 1 0 30 2 30 0 0 0 1 0
391 3.33220451 0 0 31 1 19 0 0 0 0 0
392 5.564520407 0 1 34 3 42 0 1 0 0 0
393 4.836281907 0 0 16 1 20 1 0 0 0 0
394 3.17805383 0 0 24 1 20 0 1 0 1 0
395 3.555348061 0 0 14 1 17 0 1 0 0 0
398 2.995732274 0 1 19 2 34 1 0 0 1 0
403 3.433987204 0 0 30 2 27 0 0 1 1 0
404 2.944438979 0 0 35 2 25 0 0 1 0 1
405 4.094344562 0 0 19 1 18 1 0 0 0 1
412 6.683360946 0 0 33 3 82 1 0 0 1 0
413 3.713572067 0 1 45 2 33 0 0 0 0 1
416 3.610917913 0 0 36 1 42 0 0 0 1 0
417 2.564949357 0 0 8 1 15 0 1 0 1 0
418 2.48490665 0 0 35 1 76 0 0 0 0 0
420 4.94875989 0 0 30 3 25 1 0 0 0 1
421 3.135494216 0 0 26 1 17 0 1 0 0 0
424 3.713572067 0 0 23 1 23 0 1 0 0 1
427 3.135494216 0 0 53 4 41 0 0 1 1 0
435 2.397895273 0 0 24 1 15 0 0 1 0 1
438 4.110873864 0 0 21 2 73 1 0 0 1 0
441 3.526360525 0 0 32 1 17 0 1 0 0 0
442 4.709530201 0 0 33 2 5 0 1 0 1 0
443 4.744932128 0 0 41 2 44 0 1 0 0 1
445 1.791759469 0 0 14 1 27 1 0 0 0 1
447 3.850147602 0 0 40 1 48 0 0 0 1 0
450 2.944438979 0 0 29 2 111 0 0 0 0 0
453 4.574710979 1 0 37 2 25 0 0 0 0 1
457 3.871201011 0 1 28 3 30 1 0 0 0 1
458 3.135494216 0 0 11 1 17 1 0 0 0 0
459 4.007333185 0 0 31 2 29 1 0 0 1 0
464 3.713572067 0 1 17 2 28 1 0 0 0 1
466 2.079441542 0 0 15 1 62 1 0 0 0 0
467 4.406719247 0 0 30 2 72 0 1 0 0 0
468 3.218875825 0 0 29 3 37 0 1 0 1 0
470 3.912023005 0 0 26 3 47 0 0 1 0 1
471 3.433987204 0 0 29 2 23 0 0 1 0 0
472 4.465908119 0 0 38 1 177 0 0 0 0 0
477 4.290459441 1 0 32 2 12 0 1 0 0 1
479 3.044522438 0 0 17 3 55 1 0 0 0 0
481 0 0 0 24 2 26 1 0 0 0 1
483 4.317488114 0 1 44 2 54 0 0 0 1 0
487 2.564949357 0 0 37 2 35 0 0 0 0 1
488 4.584967479 0 0 24 2 50 1 0 0 1 0
489 5.365976015 0 1 13 2 36 1 0 0 0 0
491 1.791759469 0 0 26 1 41 0 1 0 0 0
492 2.397895273 0 0 23 1 20 0 1 0 1 0
493 4.521788577 0 0 19 3 38 1 0 0 0 0
494 6.100318952 0 0 34 3 35 0 0 0 0 0
496 3.401197382 0 0 26 1 34 1 0 0 0 1
501 1.609437912 0 0 14 2 35 1 0 0 0 0
503 2.079441542 0 0 41 2 17 0 1 0 0 1
505 3.135494216 1 1 20 3 35 1 0 0 1 0
508 4.762173935 0 0 18 3 56 1 0 0 1 0
509 4.248495242 0 0 37 2 32 0 0 0 0 1
510 2.197224577 0 0 17 2 16 1 0 0 0 0
511 2.944438979 0 0 20 2 19 0 1 0 0 0
513 2.944438979 0 0 28 2 18 0 1 0 1 0
514 4.418840608 0 1 37 2 27 0 0 0 0 1
516 2.63905733 0 0 33 1 36 0 0 0 1 0
518 4.33073334 0 0 10 1 18 1 0 0 1 0
519 3.258096538 0 0 23 3 43 1 0 0 0 1
522 1.791759469 0 0 15 2 11 1 0 0 0 0
527 2.890371758 0 0 12 1 26 1 0 0 0 0
528 3.465735903 0 1 13 2 17 1 0 0 1 0
530 1.386294361 0 1 6 2 15 0 1 0 0 0
533 2.564949357 0 0 12 1 14 0 1 0 0 0
534 3.135494216 0 0 25 2 35 0 1 0 0 1
535 5.752572639 0 1 36 2 22 0 1 0 1 0
539 1.609437912 0 0 15 2 20 1 0 0 0 0
540 4.844187086 0 1 14 2 37 1 0 0 0 1
541 3.784189634 0 0 18 2 11 1 0 0 1 0
544 2.079441542 0 0 12 2 10 0 1 0 0 0
545 2.48490665 0 0 42 2 6 0 0 0 0 1
547 4.33073334 0 1 24 5 41 1 0 0 0 1
550 3.218875825 0 1 7 3 13 1 0 0 1 0
551 3.737669618 0 0 8 3 12 0 1 0 0 0
554 1.791759469 0 0 37 2 32 0 1 0 0 1
555 1.945910149 0 0 10 1 17 1 0 0 1 0
560 4.663439094 0 0 42 2 40 0 1 0 1 0
561 1.098612289 0 0 8 2 21 1 0 0 1 0
564 4.543294782 0 0 18 1 39 1 0 0 0 1
567 0 0 0 16 3 21 1 0 0 1 0
573 2.302585093 0 0 11 2 23 1 0 0 0 1
577 2.944438979 0 0 14 1 19 1 0 0 1 0
579 3.80666249 0 0 30 2 52 0 1 0 0 1
581 1.609437912 0 0 6 3 8 1 0 0 0 1
588 3.610917913 1 0 12 2 19 1 0 0 0 1
589 2.63905733 0 0 14 2 26 1 0 0 1 0
591 2.995732274 0 0 32 1 34 0 1 0 1 0
592 2.995732274 0 0 11 3 21 1 0 0 0 1
593 4.394449155 0 0 21 1 35 1 0 0 0 1
597 4.394449155 0 0 12 3 6 1 0 0 0 1
598 1.791759469 0 0 13 1 32 1 0 0 1 0
600 3.295836866 0 1 28 4 27 0 0 0 1 0
603 2.564949357 0 0 26 3 19 0 1 0 0 1
606 3.218875825 0 0 18 2 25 1 0 0 0 1
608 2.197224577 0 0 10 2 18 1 0 0 1 0
610 2.564949357 0 0 16 2 18 0 1 0 1 0
611 4.189654742 0 0 27 2 23 0 1 0 0 1
612 2.833213344 0 0 27 3 21 0 1 0 1 0
617 3.401197382 0 0 8 1 17 1 0 0 0 1
620 3.988984047 0 0 19 2 21 0 1 0 0 1
621 5.669880923 0 1 12 2 24 1 0 0 0 1
622 2.708050201 0 0 15 4 32 0 1 0 1 0
627 2.944438979 0 0 13 2 24 1 0 0 0 1
628 3.526360525 0 0 15 2 18 0 1 0 0 1
629 6.107022888 0 0 28 2 70 1 0 0 0 0
630 2.63905733 0 0 12 1 31 0 1 0 1 0
634 2.890371758 0 0 18 2 32 1 0 0 0 1
635 4.262679877 0 1 20 3 31 1 0 0 1 0
636 2.944438979 0 0 11 2 18 0 1 0 1 0
639 2.197224577 0 0 8 1 6 0 1 0 0 1
644 2.890371758 0 0 15 1 30 0 1 0 0 1
645 2.079441542 0 0 12 3 29 0 1 0 1 0
646 3.465735903 0 1 15 4 56 1 0 0 0 1
651 2.079441542 0 1 13 2 17 0 1 0 1 0
653 4.919980926 0 0 11 2 26 0 0 1 0 1
659 3.218875825 0 0 30 4 18 0 1 0 0 1
667 3.737669618 0 0 34 2 26 0 0 1 0 0
674 5.262690189 0 0 39 2 59 0 1 0 0 1
685 4.276666119 0 0 23 1 16 0 1 0 0 1
690 2.772588722 0 0 35 2 27 0 1 0 0 1
692 2.890371758 0 0 17 1 25 1 0 0 0 1
693 2.48490665 0 0 20 1 10 0 0 0 0 0
694 3.433987204 0 0 34 2 59 0 0 1 0 1
703 2.708050201 0 0 23 2 36 0 1 0 0 1
711 2.564949357 0 1 28 3 36 0 1 0 0 1
712 4.189654742 0 0 21 2 21 1 0 0 1 0
713 3.970291914 0 0 37 1 44 0 0 0 0 1
717 2.48490665 0 1 39 2 25 0 0 0 1 0
719 3.135494216 0 0 35 2 34 0 1 0 0 1
724 1.386294361 0 0 10 1 6 0 1 0 1 0
725 2.397895273 0 0 12 2 12 0 0 1 1 0
726 5.424950017 0 1 31 2 30 0 1 0 0 1
727 3.850147602 0 0 33 1 27 0 1 0 0 1
731 3.850147602 0 0 18 2 29 1 0 0 0 0
733 3.218875825 0 1 44 3 47 0 1 0 0 1
736 3.218875825 0 0 22 1 48 1 0 0 0 1
737 1.386294361 0 0 17 2 15 0 1 0 0 1
738 4.59511985 0 1 9 3 13 0 1 0 1 0
739 2.944438979 0 0 35 2 31 0 0 0 0 0
742 2.397895273 1 0 10 1 6 0 1 0 0 1
743 4.248495242 0 1 30 3 20 0 0 1 1 0
745 1.386294361 0 0 17 2 22 0 1 0 0 1
747 3.295836866 0 0 11 2 27 0 1 0 0 1
748 1.791759469 0 0 10 1 16 0 1 0 0 1
750 2.995732274 0 0 17 2 22 0 1 0 0 1
751 1.609437912 0 0 17 2 16 1 0 0 1 0
754 3.496507561 0 0 3 2 6 0 1 0 0 1
755 3.850147602 0 1 34 2 64 0 1 0 0 1
756 1.945910149 0 0 9 1 18 0 1 0 1 0
757 3.36729583 0 0 23 2 42 1 0 0 0 0
759 3.044522438 0 0 32 3 18 0 0 1 0 0
760 3.401197382 0 0 26 1 39 0 1 0 0 1
761 4.043051268 0 0 19 2 23 0 0 1 0 1
763 2.708050201 0 0 29 1 28 0 1 0 0 1
766 3.218875825 0 0 28 1 14 0 1 0 0 1
767 4.430816799 0 0 20 1 42 1 0 0 0 1
769 2.48490665 0 0 40 2 20 0 1 0 0 1
773 5.164785974 0 0 40 1 45 0 1 0 0 1
774 4.369447852 0 0 15 2 22 1 0 0 1 0
775 2.302585093 0 1 44 3 40 0 0 0 0 1
777 3.737669618 0 0 30 2 56 0 1 0 0 1
779 5.023880521 0 0 31 2 37 0 0 0 1 0
781 4.248495242 0 0 56 2 31 0 1 0 0 1
782 3.63758616 0 0 30 2 25 0 1 0 0 0
783 4.007333185 0 0 35 1 27 0 0 1 1 0
786 1.386294361 0 0 5 1 5 1 0 0 0 0
788 2.079441542 0 0 16 2 19 0 1 0 0 1
791 3.663561646 0 0 54 1 68 0 1 0 0 1
792 2.995732274 0 0 27 1 0 0 0 0 0 0
793 4.110873864 0 0 42 3 40 0 0 1 0 1
795 2.48490665 0 0 7 1 6 1 0 0 0 0
797 4.143134726 0 0 19 2 36 1 0 0 0 1
798 5.049856007 0 1 20 2 36 1 0 0 1 0
800 3.258096538 1 0 33 2 10 0 1 0 0 1
802 4.406719247 0 0 28 1 21 0 0 1 0 0
803 2.197224577 0 0 26 2 28 0 1 0 0 1
804 3.135494216 0 0 18 3 54 1 0 0 0 0
806 4.521788577 1 0 28 1 69 0 1 0 0 0
807 2.944438979 0 0 8 3 5 0 1 0 0 1
808 2.995732274 0 0 9 1 11 0 1 0 0 1
810 2.397895273 0 0 19 1 32 0 1 0 0 1
816 1.945910149 0 0 9 2 16 1 0 0 0 1
820 3.091042453 0 0 11 1 9 1 0 0 0 1
822 4.663439094 0 0 12 1 6 1 0 0 1 0
823 5.093750201 0 0 32 2 59 0 0 0 1 0
825 2.708050201 0 0 22 2 17 0 1 0 0 1
827 0 0 0 17 1 24 1 0 0 0 0
828 3.526360525 0 0 20 2 31 0 0 0 0 0
829 4.007333185 0 0 42 2 23 0 1 0 1 0
830 2.890371758 0 0 15 1 39 0 0 1 1 0
832 4.276666119 0 0 28 3 63 0 0 0 0 1
835 3.526360525 0 0 24 3 38 1 0 0 0 1
837 1.609437912 0 0 10 2 11 1 0 0 0 1
838 2.397895273 0 0 15 1 33 1 0 0 1 0
839 0 0 0 27 3 24 0 0 1 0 0
841 4.418840608 0 0 34 3 39 0 1 0 0 0
848 3.555348061 0 0 15 2 33 1 0 0 0 1
850 3.555348061 0 0 6 2 12 0 0 1 1 0
851 4.584967479 0 0 36 2 34 0 0 1 0 1
852 3.135494216 0 0 10 2 15 1 0 0 0 0
854 2.397895273 0 0 20 2 27 0 0 0 0 0
856 2.302585093 0 0 45 3 48 0 1 0 0 1
857 2.63905733 0 0 8 2 56 1 0 0 1 0
858 4.48863637 0 0 41 2 29 0 0 1 1 0
863 0.693147181 0 0 4 1 19 1 0 0 0 0
865 4.48863637 0 1 20 2 35 0 0 0 1 0
866 0.693147181 0 0 10 1 44 1 0 0 1 0
868 2.397895273 0 0 12 2 19 1 0 0 0 1
870 3.688879454 0 0 42 1 45 0 0 0 0 1
872 3.891820298 0 0 16 2 21 1 0 0 0 0
875 3.80666249 0 0 24 1 32 0 0 1 0 0
878 2.302585093 0 0 15 1 13 1 0 0 1 0
879 2.079441542 0 0 35 1 23 0 0 0 0 0
880 3.526360525 0 0 16 1 23 1 0 0 0 1
881 5.105945474 0 0 36 1 43 0 1 0 1 0
882 3.610917913 0 0 34 2 28 0 1 0 0 0
887 3.871201011 0 0 38 2 33 0 0 0 1 0
891 2.708050201 0 0 35 3 20 0 0 1 0 1
894 4.248495242 0 1 15 2 20 1 0 0 1 0
897 4.276666119 0 0 12 2 19 1 0 0 0 1
900 3.663561646 0 0 28 2 22 0 0 1 0 0
901 2.772588722 0 0 14 1 31 1 0 0 0 0
902 1.609437912 0 1 27 2 21 0 0 1 1 0
905 3.988984047 0 0 21 2 21 1 0 0 1 0
907 3.850147602 0 0 11 1 24 0 1 0 0 1
908 5.003946306 0 0 7 3 26 1 0 0 1 0
909 3.401197382 0 1 10 2 19 1 0 0 0 1
911 5.752572639 0 0 38 3 64 0 0 0 0 1
912 3.258096538 1 0 22 2 16 0 0 1 0 0
914 4.234106505 0 0 15 3 49 1 0 0 0 0
916 4.248495242 0 0 48 2 27 0 0 0 0 0
917 2.302585093 0 0 13 2 11 0 1 0 0 1
918 3.931825633 0 0 28 2 15 0 1 0 0 0
919 2.48490665 0 0 34 1 17 0 1 0 1 0
923 4.204692619 0 1 18 2 27 1 0 0 0 1
928 4.189654742 0 0 27 2 48 0 0 0 1 0
932 3.433987204 0 0 27 1 42 0 0 1 0 0
933 2.302585093 0 0 30 1 32 0 0 1 0 1
938 1.945910149 0 0 20 2 41 0 0 1 1 0
939 3.828641396 0 0 11 2 12 1 0 0 0 0
940 2.197224577 0 0 12 2 11 0 1 0 0 1
943 3.951243719 0 0 8 2 26 1 0 0 0 1
948 4.905274778 0 0 24 1 40 1 0 0 0 0
949 2.079441542 0 0 7 1 11 0 1 0 0 1
952 3.135494216 0 0 32 1 26 0 1 0 1 0
953 4.394449155 1 0 36 3 41 0 0 1 0 1
954 3.295836866 0 0 12 3 27 1 0 0 0 1
955 3.688879454 0 0 28 2 13 0 1 0 0 0
957 3.401197382 0 1 43 2 29 0 0 1 1 0
959 3.401197382 0 0 15 2 16 0 1 0 0 1
960 2.397895273 0 0 35 2 29 0 1 0 1 0
962 3.63758616 0 0 20 2 41 1 0 0 1 0
963 5.645446898 0 1 30 2 20 0 0 0 0 1
964 4.644390899 0 0 42 2 66 0 0 0 1 0
965 3.988984047 0 0 43 2 28 0 0 1 0 0
968 1.945910149 0 0 41 1 67 0 0 1 1 0
970 1.791759469 0 0 12 1 13 0 0 1 0 1
971 2.397895273 0 0 11 2 37 1 0 0 0 1
976 3.258096538 1 0 42 2 43 0 0 0 0 0
978 5.347107531 0 0 46 3 71 0 0 0 0 1
979 3.850147602 0 0 16 1 41 1 0 0 0 0
981 2.944438979 0 0 31 3 15 0 0 1 0 1
986 3.258096538 0 0 8 1 27 0 1 0 0 0
987 2.995732274 0 0 29 1 36 1 0 0 1 0
995 3.218875825 0 0 18 2 20 0 1 0 0 0
996 4.465908119 0 0 22 2 37 1 0 0 0 0
998 4.204692619 1 0 28 2 25 0 0 0 0 1
1000 2.079441542 0 0 11 2 18 1 0 0 0 1
1003 3.912023005 0 0 42 2 29 0 1 0 1 0
1006 2.564949357 0 0 26 2 29 0 0 1 1 0
1007 4.584967479 0 0 25 2 32 0 0 0 1 0
1009 3.295836866 0 0 30 2 21 0 0 1 0 0
1012 1.098612289 0 0 10 3 26 0 1 0 0 0
1015 3.583518938 0 0 33 2 41 0 0 1 0 1
1018 3.713572067 0 0 26 1 37 1 0 0 1 0
1019 4.394449155 0 1 29 2 18 1 0 0 0 0
1020 3.091042453 0 0 38 3 20 0 0 0 0 0
1023 1.945910149 0 0 7 1 7 0 1 0 0 0
1026 5.075173815 0 0 30 2 42 0 0 0 0 1
1027 3.17805383 0 0 42 1 79 0 1 0 0 1
1028 2.833213344 0 0 25 1 30 0 0 1 0 0
1030 3.988984047 0 0 41 2 30 0 0 0 1 0
1033 3.713572067 0 0 53 1 121 0 0 0 0 0
1036 4.634728988 0 0 21 2 21 1 0 0 1 0
1038 4.543294782 0 0 45 2 44 0 0 1 1 0
1039 1.386294361 0 0 17 2 16 0 1 0 1 0
1041 5.036952602 0 0 17 1 13 0 0 1 0 1
1042 2.890371758 0 0 24 2 38 1 0 0 0 0
1045 2.63905733 0 0 27 3 26 1 0 0 0 0
1051 3.761200116 0 0 37 1 10 0 0 1 0 0
1052 2.833213344 0 0 36 2 42 0 0 0 0 1
1055 4.510859507 0 0 29 2 27 0 0 0 0 0
1056 5.049856007 0 0 43 2 52 0 1 0 0 1
1059 4.624972813 0 0 26 1 64 0 1 0 1 0
1060 1.609437912 0 0 10 1 15 1 0 0 1 0
1063 4.465908119 0 0 27 2 45 0 0 1 0 1
1065 3.850147602 0 0 37 1 49 0 1 0 0 1
1066 3.912023005 0 0 17 3 27 1 0 0 0 0
1069 4.382026635 0 0 24 2 50 1 0 0 1 0
1072 3.713572067 0 0 29 2 34 0 0 0 1 0
1077 3.218875825 1 0 15 1 21 0 1 0 1 0
1080 2.564949357 0 0 27 2 11 1 0 0 0 0
1082 1.609437912 0 0 33 2 15 0 0 0 0 0
1084 4.158883083 0 0 29 1 20 0 0 1 1 0
1085 3.850147602 0 0 25 1 61 1 0 0 0 1
1086 3.17805383 0 0 28 2 39 0 0 1 0 0
1087 4.33073334 0 0 33 2 22 0 0 0 0 1
1089 3.63758616 0 0 27 1 24 0 0 1 0 1
1090 2.564949357 0 0 16 1 36 1 0 0 1 0
1092 4.304065093 0 0 20 2 38 1 0 0 0 1
1094 3.465735903 0 0 12 2 19 0 1 0 1 0
1099 3.988984047 0 0 28 2 12 0 1 0 0 1
1101 3.737669618 0 0 44 2 22 0 0 0 1 0
1106 4.17438727 0 0 17 2 48 1 0 0 1 0
1107 4.110873864 0 1 50 3 49 0 1 0 0 0
